municipality_name,osm_road_km,num_segments,road_length_km,completeness_pct,category,difference_km
Abavas pag.,357.27,763,,,No data,
Aglonas pag.,236.52,599,,,No data,
Ainaži,54.75,258,,,No data,
Ainažu pag.,259.18,328,,,No data,
Aiviekstes pag.,323.79,525,,,No data,
Aizkalnes pag.,161.72,315,,,No data,
Aizkraukle,162.99,978,410.3,39.72,Low,-247.31
Aizkraukles pag.,181.96,387,,,No data,
Aizpute,103.66,827,,,No data,
Aizputes pag.,187.55,299,,,No data,
Aknīste,44.95,198,,,No data,
Aknīstes pag.,186.21,111,,,No data,
Allažu pag.,376.99,780,,,No data,
Aloja,46.38,179,,,No data,
Alojas pag.,256.89,291,,,No data,
Alsungas pag.,603.65,1598,,,No data,
Alsviķu pag.,564.35,1496,,,No data,
Alūksne,210.88,1809,,,No data,
Amatas pag.,215.99,335,,,No data,
Ambeļu pag.,103.48,115,,,No data,
Ances pag.,593.13,624,,,No data,
Andrupenes pag.,283.21,474,,,No data,
Andzeļu pag.,163.42,211,,,No data,
Annas pag.,144.28,368,,,No data,
Annenieku pag.,141.99,238,,,No data,
Ape,38.65,198,,,No data,
Apes pag.,241.13,371,,,No data,
Aronas pag.,329.18,499,,,No data,
Asares pag.,147.64,176,,,No data,
Asūnes pag.,136.36,118,,,No data,
Atašienes pag.,217.12,242,,,No data,
Auce,63.49,332,,,No data,
Audriņu pag.,103.54,200,,,No data,
Augstkalnes pag.,130.35,243,,,No data,
Aulejas pag.,132.28,294,,,No data,
Auru pag.,246.75,401,,,No data,
Babītes pag.,717.5,3265,,,No data,
Baldone,124.63,1131,,,No data,
Baldones pag.,581.42,1271,,,No data,
Balgales pag.,183.9,420,,,No data,
Baloži,133.0,915,,,No data,
Baltinavas pag.,331.79,432,,,No data,
Balvi,110.58,684,,,No data,
Balvu pag.,152.4,284,,,No data,
Barkavas pag.,235.48,329,,,No data,
Bauska,184.82,1400,320.6,57.65,Low,-135.78
Bebrenes pag.,227.17,326,,,No data,
Bebru pag.,180.04,296,,,No data,
Beļavas pag.,300.66,357,,,No data,
Bikstu pag.,198.13,249,,,No data,
Bilskas pag.,273.8,478,,,No data,
Birzgales pag.,632.03,1127,,,No data,
Biķernieku pag.,151.11,118,,,No data,
Blomes pag.,172.03,356,,,No data,
Blontu pag.,104.61,114,,,No data,
Blīdenes pag.,210.77,287,,,No data,
Brantu pag.,153.87,232,,,No data,
Braslavas pag.,124.03,146,,,No data,
Brenguļu pag.,246.34,581,,,No data,
Briežuciema pag.,128.43,185,,,No data,
Briģu pag.,168.71,157,,,No data,
Brocēni,108.75,386,,,No data,
Brunavas pag.,190.12,301,,,No data,
Brīvzemnieku pag.,212.7,295,,,No data,
Bukaišu pag.,135.69,132,,,No data,
Bunkas pag.,196.25,351,,,No data,
Burtnieku pag.,285.69,586,,,No data,
Bārbeles pag.,197.48,294,,,No data,
Bārtas pag.,200.56,335,,,No data,
Bēnes pag.,229.98,341,,,No data,
Bērzaines pag.,96.97,199,,,No data,
Bērzaunes pag.,294.46,618,,,No data,
Bērzes pag.,196.95,495,,,No data,
Bērzgales pag.,125.51,154,,,No data,
Bērziņu pag.,170.29,107,,,No data,
Bērzkalnes pag.,136.34,143,,,No data,
Bērzpils pag.,156.02,210,,,No data,
Carnikavas pag.,903.94,5045,,,No data,
Cenu pag.,412.55,1530,,,No data,
Ceraukstes pag.,151.1,302,,,No data,
Cesvaine,72.53,294,,,No data,
Cesvaines pag.,325.82,258,,,No data,
Ciblas pag.,137.05,260,,,No data,
Cieceres pag.,209.54,263,,,No data,
Cirmas pag.,119.52,245,,,No data,
Codes pag.,197.66,348,,,No data,
Cēres pag.,115.43,170,,,No data,
Cēsis,307.15,2484,350.8,87.56,Partial,-43.65
Cīravas pag.,258.88,528,,,No data,
Dagda,39.65,292,,,No data,
Dagdas pag.,113.44,174,,,No data,
Daudzeses pag.,343.95,330,,,No data,
Daugavpils,1293.7,11499,850.3,152.15,Over-mapped,443.4
Daugmales pag.,282.19,912,,,No data,
Daukstu pag.,219.53,272,,,No data,
Degoles pag.,119.23,219,,,No data,
Dekšāres pag.,175.23,177,,,No data,
Demenes pag.,312.08,353,,,No data,
Dignājas pag.,123.51,94,,,No data,
Dikļu pag.,246.13,442,,,No data,
Dobele,181.84,907,250.9,72.48,Partial,-69.06
Dobeles pag.,146.51,187,,,No data,
Drabešu pag.,455.13,1505,,,No data,
Dricānu pag.,152.84,159,,,No data,
Drustu pag.,257.37,364,,,No data,
Druvienas pag.,131.42,222,,,No data,
Dubnas pag.,134.81,147,,,No data,
Dunalkas pag.,148.67,298,,,No data,
Dunavas pag.,189.88,134,,,No data,
Dundagas pag.,817.5,2072,,,No data,
Dunikas pag.,306.89,496,,,No data,
Durbe,34.37,169,,,No data,
Durbes pag.,149.24,264,,,No data,
Dvietes pag.,213.8,135,,,No data,
Dzelzavas pag.,214.41,257,,,No data,
Dzērbenes pag.,292.52,481,,,No data,
Dāviņu pag.,135.59,147,,,No data,
Džūkstes pag.,272.62,523,,,No data,
Eglaines pag.,172.94,309,,,No data,
Elejas pag.,138.7,326,,,No data,
Elkšņu pag.,221.48,155,,,No data,
Embūtes pag.,210.18,272,,,No data,
Engures pag.,439.48,1074,,,No data,
Ezeres pag.,196.11,315,,,No data,
Ezernieku pag.,187.59,229,,,No data,
Feimaņu pag.,203.27,233,,,No data,
Gaigalavas pag.,198.67,263,,,No data,
Gailīšu pag.,185.83,586,,,No data,
Gaiķu pag.,186.98,237,,,No data,
Galgauskas pag.,208.19,350,,,No data,
Galēnu pag.,150.54,137,,,No data,
Garkalnes pag.,1202.73,5377,,,No data,
Gaujienas pag.,182.32,326,,,No data,
Gaviezes pag.,208.68,281,,,No data,
Glūdas pag.,273.98,716,,,No data,
Goliševas pag.,164.31,176,,,No data,
Gramzdas pag.,159.44,229,,,No data,
Griškānu pag.,237.52,739,,,No data,
Grobiņa,93.94,633,,,No data,
Grobiņas pag.,418.59,957,,,No data,
Grundzāles pag.,215.21,419,,,No data,
Grāveru pag.,127.74,174,,,No data,
Gudenieku pag.,269.58,647,,,No data,
Gulbene,159.63,1067,,,No data,
Gārsenes pag.,108.44,207,,,No data,
Iecava,189.53,1313,,,No data,
Iecavas pag.,748.35,1838,,,No data,
Ikšķile,161.26,1139,,,No data,
Ilzenes pag.,82.86,137,,,No data,
Ilzeskalna pag.,129.99,160,,,No data,
Ilūkste,59.51,246,,,No data,
Indras pag.,198.29,258,,,No data,
Indrānu pag.,371.54,382,,,No data,
Inešu pag.,179.85,323,,,No data,
Inčukalna pag.,583.25,2176,,,No data,
Ipiķu pag.,118.19,113,,,No data,
Irlavas pag.,236.25,386,,,No data,
Iršu pag.,125.44,127,,,No data,
Isnaudas pag.,205.18,327,,,No data,
Istras pag.,239.76,267,,,No data,
Izvaltas pag.,177.31,181,,,No data,
Jaunalūksnes pag.,390.74,1012,,,No data,
Jaunannas pag.,157.27,179,,,No data,
Jaunauces pag.,98.38,120,,,No data,
Jaunbērzes pag.,202.31,304,,,No data,
Jaungulbenes pag.,169.08,253,,,No data,
Jaunjelgava,59.96,301,,,No data,
Jaunjelgavas pag.,20.36,32,,,No data,
Jaunlaicenes pag.,106.0,185,,,No data,
Jaunlutriņu pag.,227.12,276,,,No data,
Jaunpiebalgas pag.,387.46,669,,,No data,
Jaunpils pag.,294.19,398,,,No data,
Jaunsvirlaukas pag.,259.81,668,,,No data,
Jaunsātu pag.,193.05,399,,,No data,
Jelgava,840.72,7302,450.2,186.74,Over-mapped,390.52
Jersikas pag.,156.38,256,,,No data,
Jeru pag.,205.84,276,,,No data,
Jumpravas pag.,200.85,418,,,No data,
Jumurdas pag.,200.5,240,,,No data,
Jēkabpils,496.97,4609,420.3,118.24,Over-mapped,76.67
Jērcēnu pag.,182.0,298,,,No data,
Jūrkalnes pag.,271.06,508,,,No data,
Jūrmala,1214.22,8746,180.5,672.7,Over-mapped,1033.72
Kabiles pag.,283.36,502,,,No data,
Kaives pag.,158.35,307,,,No data,
Kalkūnes pag.,196.24,481,,,No data,
Kalna pag.,242.97,168,,,No data,
Kalncempju pag.,53.6,75,,,No data,
Kalnciema pag.,138.45,600,,,No data,
Kalniešu pag.,182.51,227,,,No data,
Kalsnavas pag.,342.01,712,,,No data,
Kalupes pag.,192.43,144,,,No data,
Kalvenes pag.,220.51,359,,,No data,
Kalētu pag.,118.4,224,,,No data,
Kandava,131.15,645,,,No data,
Kandavas pag.,312.35,595,,,No data,
Kantinieku pag.,69.71,68,,,No data,
Kaplavas pag.,289.59,345,,,No data,
Kastuļinas pag.,160.71,139,,,No data,
Katvaru pag.,241.77,433,,,No data,
Kauguru pag.,299.44,974,,,No data,
Kaunatas pag.,261.24,484,,,No data,
Kazdangas pag.,267.98,543,,,No data,
Klintaines pag.,233.68,467,,,No data,
Kocēnu pag.,541.16,1710,,,No data,
Koknese,62.01,545,,,No data,
Kokneses pag.,306.73,586,,,No data,
Kolkas pag.,321.23,794,,,No data,
Kombuļu pag.,173.1,280,,,No data,
Konstantinovas pag.,115.12,115,,,No data,
Krapes pag.,144.31,170,,,No data,
Krimuldas pag.,611.23,2388,,,No data,
Krimūnu pag.,169.4,351,,,No data,
Krišjāņu pag.,108.42,142,,,No data,
Krustpils pag.,211.62,418,,,No data,
Krāslava,150.98,939,,,No data,
Krāslavas pag.,212.1,314,,,No data,
Kubulu pag.,279.17,449,,,No data,
Kuldīga,258.47,2725,290.3,89.04,Partial,-31.83
Kupravas pag.,41.64,44,,,No data,
Kurmenes pag.,213.63,334,,,No data,
Kurmāles pag.,313.49,855,,,No data,
Kursīšu pag.,204.2,224,,,No data,
Kārsava,36.41,149,,,No data,
Kārķu pag.,171.06,272,,,No data,
Kūku pag.,352.87,777,,,No data,
Laidu pag.,220.19,394,,,No data,
Laidzes pag.,236.49,807,,,No data,
Lapmežciema pag.,192.48,860,,,No data,
Lauberes pag.,136.37,143,,,No data,
Laucesas pag.,207.75,320,,,No data,
Laucienes pag.,454.24,844,,,No data,
Lauderu pag.,112.82,125,,,No data,
Launkalnes pag.,488.35,770,,,No data,
Lazdonas pag.,189.76,766,,,No data,
Lazdukalna pag.,207.98,282,,,No data,
Lazdulejas pag.,71.94,95,,,No data,
Lažas pag.,282.38,511,,,No data,
Leimaņu pag.,142.72,65,,,No data,
Lejasciema pag.,504.67,458,,,No data,
Lendžu pag.,122.7,185,,,No data,
Lestenes pag.,138.63,292,,,No data,
Lielauces pag.,130.92,151,,,No data,
Lielplatones pag.,90.28,156,,,No data,
Lielvārde,141.67,1087,,,No data,
Lielvārdes pag.,120.72,220,,,No data,
Liepas pag.,208.67,599,,,No data,
Liepnas pag.,329.75,279,,,No data,
Liepupes pag.,305.12,796,,,No data,
Liepāja,922.16,7507,620.8,148.54,Over-mapped,301.36
Liezēres pag.,429.29,508,,,No data,
Limbaži,186.13,2017,,,No data,
Limbažu pag.,372.77,746,,,No data,
