"Inventarizēto meža zemes platību sadalījums pa zemes kategorijām (ha) - Meža īpašuma forma, Zemes kategorija, Teritoriālā vienība un Laika periods"

"Meža īpašuma forma","Zemes kategorija","Teritoriālā vienība","2024"
"Pavisam","Meža zeme","Latvija",3454604
"Pavisam","Meža zeme","Rīga",5577
"Pavisam","Meža zeme","Daugavpils",1591
"Pavisam","Meža zeme","Jelgava",1182
"Pavisam","Meža zeme","Jēkabpils",192
"Pavisam","Meža zeme","Jūrmala",4811
"Pavisam","Meža zeme","Liepāja",1212
"Pavisam","Meža zeme","Ogre",223
"Pavisam","Meža zeme","Rēzekne",8
"Pavisam","Meža zeme","Valmiera",404
"Pavisam","Meža zeme","Ventspils",1522
"Pavisam","Meža zeme","Aizkraukles novads",142086
"Pavisam","Meža zeme","Alūksnes novads",113446
"Pavisam","Meža zeme","Augšdaugavas novads",101029
"Pavisam","Meža zeme","Ādažu novads",15690
"Pavisam","Meža zeme","Balvu novads",133675
"Pavisam","Meža zeme","Bauskas novads",86926
"Pavisam","Meža zeme","Cēsu novads",160462
"Pavisam","Meža zeme","Dienvidkurzemes novads",177602
"Pavisam","Meža zeme","Dobeles novads",54561
"Pavisam","Meža zeme","Gulbenes novads",112152
"Pavisam","Meža zeme","Jelgavas novads",53284
"Pavisam","Meža zeme","Jēkabpils novads",168363
"Pavisam","Meža zeme","Krāslavas novads",97049
"Pavisam","Meža zeme","Kuldīgas novads",148993
"Pavisam","Meža zeme","Ķekavas novads",26955
"Pavisam","Meža zeme","Limbažu novads",154032
"Pavisam","Meža zeme","Līvānu novads",28647
"Pavisam","Meža zeme","Ludzas novads",131257
"Pavisam","Meža zeme","Madonas novads (no 01.07.2025.)",0
"Pavisam","Meža zeme","Madonas novads",173531
"Pavisam","Meža zeme","Mārupes novads",16242
"Pavisam","Meža zeme","Ogres novads",102802
"Pavisam","Meža zeme","Olaines novads",22208
"Pavisam","Meža zeme","Preiļu novads",51728
"Pavisam","Meža zeme","Rēzeknes novads",110660
"Pavisam","Meža zeme","Ropažu novads",37919
"Pavisam","Meža zeme","Salaspils novads",3872
"Pavisam","Meža zeme","Saldus novads",110206
"Pavisam","Meža zeme","Saulkrastu novads",18872
"Pavisam","Meža zeme","Siguldas novads",59689
