"Conventional dwellings and persons living in them by type of building and by year of construction in regions, cities, municipalities and neighbourhoods by Type of building, Occupancy status of dwelling, Period of construction, Unit and Time period"

"Type of building","Occupancy status of dwelling","Period of construction","Conventional dwellings 2011","Conventional dwellings 2021","Persons residing conventional dwellings 2011","Persons residing conventional dwellings 2021"
"Total","Occupied and unoccupied","Total",1018532,1063939,1940124,1833166
"Total","Occupied and unoccupied","Dwellings in buildings, which were completed before 1919",105390,115978,169299,158134
"Total","Occupied and unoccupied","Dwellings in buildings, which were completed in 1919 – 1945",126004,136029,236342,211903
"Total","Occupied and unoccupied","Dwellings in buildings, which were completed in 1946 – 1960",93297,94956,182070,163555
"Total","Occupied and unoccupied","Dwellings in buildings, which were completed in1961 – 1980",381261,380352,750305,683145
"Total","Occupied and unoccupied","Dwellings in buildings, which were completed in 1981 – 2000",247243,248453,495740,454213
"Total","Occupied and unoccupied","Dwellings in buildings, which were completed in 2001 – 2010",49997,53685,92223,110709
"Total","Occupied and unoccupied","Dwellings in buildings, which were completed in 2011 – 2015",1494,13087,1964,23593
"Total","Occupied and unoccupied","Dwellings in buildings, which were completed after 2015",0,13610,0,20704
"Total","Occupied and unoccupied","Not stated",13846,7789,12181,7210
"Total","Occupied","Total",807811,810992,1940124,1833166
"Total","Occupied","Dwellings in buildings, which were completed before 1919",74516,70461,169299,158134
"Total","Occupied","Dwellings in buildings, which were completed in 1919 – 1945",92084,83144,236342,211903
"Total","Occupied","Dwellings in buildings, which were completed in 1946 – 1960",75481,70916,182070,163555
"Total","Occupied","Dwellings in buildings, which were completed in1961 – 1980",324942,321603,750305,683145
"Total","Occupied","Dwellings in buildings, which were completed in 1981 – 2000",198090,201833,495740,454213
"Total","Occupied","Dwellings in buildings, which were completed in 2001 – 2010",33024,42631,92223,110709
"Total","Occupied","Dwellings in buildings, which were completed in 2011 – 2015",694,9173,1964,23593
"Total","Occupied","Dwellings in buildings, which were completed after 2015",0,8395,0,20704
"Total","Occupied","Not stated",8980,2836,12181,7210
"Residential buildings","Occupied and unoccupied","Total",1002089,1057573,1924243,1828765
"Residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed before 1919",104394,113589,168120,156275
"Residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1919 – 1945",125200,134505,235516,210845
"Residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1946 – 1960",92797,94387,181423,163190
"Residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in1961 – 1980",379655,379590,748582,682471
"Residential buildings","Occupied and unoccupied","Dwellings in buildings, which were completed in 1981 – 2000",246689,247884,495112,454017
