"Length of state and municipal roads and streets in regions, State cities and municipalities at the end of year (km) by Territorial unit, Types of surface, Indicator and Time period"

"Territorial unit","Types of surface","Indicator","2024"
"Riga","Total","Total",1205
"Daugavpils","Total","Total",333
"Jelgava","Total","Total",270
"Jūrmala","Total","Total",399
"Liepāja","Total","Total",271
"Rēzekne","Total","Total",106
"Ventspils","Total","Total",193
"Aizkraukle municipality","Total","Total",1657
"Alūksne municipality","Total","Total",1187
"Augšdaugava municipality","Total","Total",2817
"Ādaži municipality","Total","Total",398
"Balvi municipality","Total","Total",1597
"Bauska municipality","Total","Total",2014
"Cēsis municipality","Total","Total",2670
"Dienvidkurzeme municipality","Total","Total",3078
"Dobele municipality","Total","Total",1529
"Gulbene municipality","Total","Total",1380
"Jelgava municipality","Total","Total",1552
"Jēkabpils municipality","Total","Total",2401
"Krāslava municipality","Total","Total",2183
"Kuldīga municipality","Total","Total",1973
"Ķekava municipality","Total","Total",514
"Limbaži municipality","Total","Total",2272
"Līvāni municipality","Total","Total",446
"Ludza municipality","Total","Total",2160
"Madona municipality","Total","Total",2464
"Mārupe municipality","Total","Total",413
"Ogre municipality","Total","Total",2039
"Olaine municipality","Total","Total",201
"Preiļi municipality","Total","Total",1385
"Rēzekne municipality","Total","Total",2651
"Ropaži municipality","Total","Total",613
"Salaspils municipality","Total","Total",180
"Saldus municipality","Total","Total",1603
"Saulkrasti municipality","Total","Total",386
"Sigulda municipality","Total","Total",1072
"Smiltene municipality","Total","Total",1371
"Talsi municipality","Total","Total",2148
"Tukums municipality","Total","Total",2175
"Valka municipality","Total","Total",492
"Valmiera municipality","Total","Total",2075
"Varakļāni municipality","Total","Total",234
"Ventspils municipality","Total","Total",1455
