"Length of transport roads at the end of year (km) by Indicator and Time period"

"Indicator","2024"
"State railway lines",1831
"..broad-gauge state railway lines",1798
"....electrified broad-gauge state railway lines",251
"State railway line length per 1,000 km², km",28
"State roads, thsd km",20
"..state roads of asphalt concrete and other bitumenized coverings, thsd km",10
"Municipal roads, thsd km",30
"State road length per 1,000 km², km",308
"Municipal road length per 1,000 km², km",460
"Tramlines",161
"Trolley-bus lines",204
"Oil-pipeline",-
"Oil products pipeline",339
"Gas pipelines",1198
