"Length of state and municipal roads and streets in regions, State cities and municipalities at the end of year (km) by Territorial unit, Types of surface, Indicator and Time period"

"Territorial unit","Types of surface","Indicator","2024"
"Latvia","Total","Total",57564
"Latvia","Total","State roads",19898
"Latvia","Total","Municipal roads",29688
"Latvia","Total","Municipal streets",7978
"Latvia","Asphalt and other bituminous surfaces","Total",16595
"Latvia","Asphalt and other bituminous surfaces","State roads",9895
"Latvia","Asphalt and other bituminous surfaces","Municipal roads",1783
"Latvia","Asphalt and other bituminous surfaces","Municipal streets",4918
"Latvia","Crushed stone and gravel surfaces","Total",40969
"Latvia","Crushed stone and gravel surfaces","State roads",10003
"Latvia","Crushed stone and gravel surfaces","Municipal roads",27905
"Latvia","Crushed stone and gravel surfaces","Municipal streets",3060
"Riga statistical region (from 01.01.2024.)","Total","Total",4996
"Riga statistical region (from 01.01.2024.)","Total","State roads",1072
"Riga statistical region (from 01.01.2024.)","Total","Municipal roads",1247
"Riga statistical region (from 01.01.2024.)","Total","Municipal streets",2677
"Riga statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","Total",2684
"Riga statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","State roads",826
"Riga statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal roads",165
"Riga statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal streets",1693
"Riga statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","Total",2313
"Riga statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","State roads",246
"Riga statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","Municipal roads",1082
"Riga statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","Municipal streets",985
"Riga statistical region (Riga) (before 01.01.2024.)  ","Total","Total",…
"Riga statistical region (Riga) (before 01.01.2024.)  ","Total","State roads",…
"Riga statistical region (Riga) (before 01.01.2024.)  ","Total","Municipal roads",…
"Riga statistical region (Riga) (before 01.01.2024.)  ","Total","Municipal streets",…
"Riga statistical region (Riga) (before 01.01.2024.)  ","Asphalt and other bituminous surfaces","Total",…
"Riga statistical region (Riga) (before 01.01.2024.)  ","Asphalt and other bituminous surfaces","State roads",…
"Riga statistical region (Riga) (before 01.01.2024.)  ","Asphalt and other bituminous surfaces","Municipal roads",…
"Riga statistical region (Riga) (before 01.01.2024.)  ","Asphalt and other bituminous surfaces","Municipal streets",…
"Riga statistical region (Riga) (before 01.01.2024.)  ","Crushed stone and gravel surfaces","Total",…
"Riga statistical region (Riga) (before 01.01.2024.)  ","Crushed stone and gravel surfaces","State roads",…
"Riga statistical region (Riga) (before 01.01.2024.)  ","Crushed stone and gravel surfaces","Municipal roads",…
"Riga statistical region (Riga) (before 01.01.2024.)  ","Crushed stone and gravel surfaces","Municipal streets",…
"Pierīga statistical region (before 01.01.2024.)","Total","Total",…
"Pierīga statistical region (before 01.01.2024.)","Total","State roads",…
"Pierīga statistical region (before 01.01.2024.)","Total","Municipal roads",…
"Pierīga statistical region (before 01.01.2024.)","Total","Municipal streets",…
"Pierīga statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","Total",…
"Pierīga statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","State roads",…
"Pierīga statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal roads",…
"Pierīga statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal streets",…
"Pierīga statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","Total",…
"Pierīga statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","State roads",…
"Pierīga statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","Municipal roads",…
"Pierīga statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","Municipal streets",…
"Vidzeme statistical region (from 01.01.2024.)","Total","Total",16569
"Vidzeme statistical region (from 01.01.2024.)","Total","State roads",6261
"Vidzeme statistical region (from 01.01.2024.)","Total","Municipal roads",8507
"Vidzeme statistical region (from 01.01.2024.)","Total","Municipal streets",1801
"Vidzeme statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","Total",4268
"Vidzeme statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","State roads",2920
"Vidzeme statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal roads",382
"Vidzeme statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal streets",966
"Vidzeme statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","Total",12301
"Vidzeme statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","State roads",3341
"Vidzeme statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","Municipal roads",8125
"Vidzeme statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","Municipal streets",836
"Vidzeme statistical region (before 01.01.2024.)","Total","Total",…
"Vidzeme statistical region (before 01.01.2024.)","Total","State roads",…
"Vidzeme statistical region (before 01.01.2024.)","Total","Municipal roads",…
"Vidzeme statistical region (before 01.01.2024.)","Total","Municipal streets",…
"Vidzeme statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","Total",…
"Vidzeme statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","State roads",…
"Vidzeme statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal roads",…
"Vidzeme statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal streets",…
"Vidzeme statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","Total",…
"Vidzeme statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","State roads",…
"Vidzeme statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","Municipal roads",…
"Vidzeme statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","Municipal streets",…
"Kurzeme statistical region (from 01.01.2024.)","Total","Total",12897
"Kurzeme statistical region (from 01.01.2024.)","Total","State roads",4675
"Kurzeme statistical region (from 01.01.2024.)","Total","Municipal roads",6851
"Kurzeme statistical region (from 01.01.2024.)","Total","Municipal streets",1371
"Kurzeme statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","Total",3738
"Kurzeme statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","State roads",2380
"Kurzeme statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal roads",448
"Kurzeme statistical region (from 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal streets",910
"Kurzeme statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","Total",9159
"Kurzeme statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","State roads",2295
"Kurzeme statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","Municipal roads",6403
"Kurzeme statistical region (from 01.01.2024.)","Crushed stone and gravel surfaces","Municipal streets",461
"Kurzeme statistical region (before 01.01.2024.)","Total","Total",…
"Kurzeme statistical region (before 01.01.2024.)","Total","State roads",…
"Kurzeme statistical region (before 01.01.2024.)","Total","Municipal roads",…
"Kurzeme statistical region (before 01.01.2024.)","Total","Municipal streets",…
"Kurzeme statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","Total",…
"Kurzeme statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","State roads",…
"Kurzeme statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal roads",…
"Kurzeme statistical region (before 01.01.2024.)","Asphalt and other bituminous surfaces","Municipal streets",…
"Kurzeme statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","Total",…
"Kurzeme statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","State roads",…
"Kurzeme statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","Municipal roads",…
"Kurzeme statistical region (before 01.01.2024.)","Crushed stone and gravel surfaces","Municipal streets",…
"Zemgale statistical region","Total","Total",9424
"Zemgale statistical region","Total","State roads",3359
"Zemgale statistical region","Total","Municipal roads",5209
"Zemgale statistical region","Total","Municipal streets",855
"Zemgale statistical region","Asphalt and other bituminous surfaces","Total",2610
"Zemgale statistical region","Asphalt and other bituminous surfaces","State roads",1543
"Zemgale statistical region","Asphalt and other bituminous surfaces","Municipal roads",559
"Zemgale statistical region","Asphalt and other bituminous surfaces","Municipal streets",508
"Zemgale statistical region","Crushed stone and gravel surfaces","Total",6814
"Zemgale statistical region","Crushed stone and gravel surfaces","State roads",1816
"Zemgale statistical region","Crushed stone and gravel surfaces","Municipal roads",4651
"Zemgale statistical region","Crushed stone and gravel surfaces","Municipal streets",348
"Latgale statistical region","Total","Total",13678
"Latgale statistical region","Total","State roads",4531
"Latgale statistical region","Total","Municipal roads",7873
"Latgale statistical region","Total","Municipal streets",1273
"Latgale statistical region","Asphalt and other bituminous surfaces","Total",3297
"Latgale statistical region","Asphalt and other bituminous surfaces","State roads",2226
"Latgale statistical region","Asphalt and other bituminous surfaces","Municipal roads",229
"Latgale statistical region","Asphalt and other bituminous surfaces","Municipal streets",842
"Latgale statistical region","Crushed stone and gravel surfaces","Total",10381
"Latgale statistical region","Crushed stone and gravel surfaces","State roads",2305
"Latgale statistical region","Crushed stone and gravel surfaces","Municipal roads",7644
"Latgale statistical region","Crushed stone and gravel surfaces","Municipal streets",432
"Riga","Total","Total",1205
"Riga","Total","State roads",0
"Riga","Total","Municipal roads",0
"Riga","Total","Municipal streets",1205
"Riga","Asphalt and other bituminous surfaces","Total",872
"Riga","Asphalt and other bituminous surfaces","State roads",0
"Riga","Asphalt and other bituminous surfaces","Municipal roads",0
"Riga","Asphalt and other bituminous surfaces","Municipal streets",872
"Riga","Crushed stone and gravel surfaces","Total",333
"Riga","Crushed stone and gravel surfaces","State roads",0
"Riga","Crushed stone and gravel surfaces","Municipal roads",0
"Riga","Crushed stone and gravel surfaces","Municipal streets",333
"Daugavpils","Total","Total",333
"Daugavpils","Total","State roads",2
"Daugavpils","Total","Municipal roads",0
"Daugavpils","Total","Municipal streets",331
"Daugavpils","Asphalt and other bituminous surfaces","Total",223
"Daugavpils","Asphalt and other bituminous surfaces","State roads",2
"Daugavpils","Asphalt and other bituminous surfaces","Municipal roads",0
"Daugavpils","Asphalt and other bituminous surfaces","Municipal streets",221
"Daugavpils","Crushed stone and gravel surfaces","Total",110
"Daugavpils","Crushed stone and gravel surfaces","State roads",0
"Daugavpils","Crushed stone and gravel surfaces","Municipal roads",0
"Daugavpils","Crushed stone and gravel surfaces","Municipal streets",110
"Jelgava","Total","Total",270
"Jelgava","Total","State roads",0
"Jelgava","Total","Municipal roads",0
"Jelgava","Total","Municipal streets",270
"Jelgava","Asphalt and other bituminous surfaces","Total",142
"Jelgava","Asphalt and other bituminous surfaces","State roads",0
"Jelgava","Asphalt and other bituminous surfaces","Municipal roads",0
"Jelgava","Asphalt and other bituminous surfaces","Municipal streets",142
"Jelgava","Crushed stone and gravel surfaces","Total",128
"Jelgava","Crushed stone and gravel surfaces","State roads",0
"Jelgava","Crushed stone and gravel surfaces","Municipal roads",0
"Jelgava","Crushed stone and gravel surfaces","Municipal streets",128
"Jūrmala","Total","Total",399
"Jūrmala","Total","State roads",13
"Jūrmala","Total","Municipal roads",0
"Jūrmala","Total","Municipal streets",386
"Jūrmala","Asphalt and other bituminous surfaces","Total",275
"Jūrmala","Asphalt and other bituminous surfaces","State roads",13
"Jūrmala","Asphalt and other bituminous surfaces","Municipal roads",0
"Jūrmala","Asphalt and other bituminous surfaces","Municipal streets",261
"Jūrmala","Crushed stone and gravel surfaces","Total",125
"Jūrmala","Crushed stone and gravel surfaces","State roads",0
"Jūrmala","Crushed stone and gravel surfaces","Municipal roads",0
"Jūrmala","Crushed stone and gravel surfaces","Municipal streets",125
"Liepāja","Total","Total",271
"Liepāja","Total","State roads",0
"Liepāja","Total","Municipal roads",0
"Liepāja","Total","Municipal streets",270
"Liepāja","Asphalt and other bituminous surfaces","Total",200
"Liepāja","Asphalt and other bituminous surfaces","State roads",0
"Liepāja","Asphalt and other bituminous surfaces","Municipal roads",0
"Liepāja","Asphalt and other bituminous surfaces","Municipal streets",200
"Liepāja","Crushed stone and gravel surfaces","Total",70
"Liepāja","Crushed stone and gravel surfaces","State roads",0
"Liepāja","Crushed stone and gravel surfaces","Municipal roads",0
"Liepāja","Crushed stone and gravel surfaces","Municipal streets",70
"Rēzekne","Total","Total",106
"Rēzekne","Total","State roads",0
"Rēzekne","Total","Municipal roads",0
"Rēzekne","Total","Municipal streets",106
"Rēzekne","Asphalt and other bituminous surfaces","Total",75
"Rēzekne","Asphalt and other bituminous surfaces","State roads",0
"Rēzekne","Asphalt and other bituminous surfaces","Municipal roads",0
"Rēzekne","Asphalt and other bituminous surfaces","Municipal streets",75
"Rēzekne","Crushed stone and gravel surfaces","Total",31
"Rēzekne","Crushed stone and gravel surfaces","State roads",0
"Rēzekne","Crushed stone and gravel surfaces","Municipal roads",0
"Rēzekne","Crushed stone and gravel surfaces","Municipal streets",31
"Ventspils","Total","Total",193
"Ventspils","Total","State roads",0
"Ventspils","Total","Municipal roads",0
"Ventspils","Total","Municipal streets",193
"Ventspils","Asphalt and other bituminous surfaces","Total",168
"Ventspils","Asphalt and other bituminous surfaces","State roads",0
"Ventspils","Asphalt and other bituminous surfaces","Municipal roads",0
"Ventspils","Asphalt and other bituminous surfaces","Municipal streets",168
"Ventspils","Crushed stone and gravel surfaces","Total",25
"Ventspils","Crushed stone and gravel surfaces","State roads",0
"Ventspils","Crushed stone and gravel surfaces","Municipal roads",0
"Ventspils","Crushed stone and gravel surfaces","Municipal streets",25
"Aizkraukle municipality","Total","Total",1657
"Aizkraukle municipality","Total","State roads",625
"Aizkraukle municipality","Total","Municipal roads",851
"Aizkraukle municipality","Total","Municipal streets",182
"Aizkraukle municipality","Asphalt and other bituminous surfaces","Total",470
"Aizkraukle municipality","Asphalt and other bituminous surfaces","State roads",328
"Aizkraukle municipality","Asphalt and other bituminous surfaces","Municipal roads",32
"Aizkraukle municipality","Asphalt and other bituminous surfaces","Municipal streets",110
"Aizkraukle municipality","Crushed stone and gravel surfaces","Total",1188
"Aizkraukle municipality","Crushed stone and gravel surfaces","State roads",297
"Aizkraukle municipality","Crushed stone and gravel surfaces","Municipal roads",819
"Aizkraukle municipality","Crushed stone and gravel surfaces","Municipal streets",72
"Alūksne municipality","Total","Total",1187
"Alūksne municipality","Total","State roads",459
"Alūksne municipality","Total","Municipal roads",659
"Alūksne municipality","Total","Municipal streets",69
"Alūksne municipality","Asphalt and other bituminous surfaces","Total",267
"Alūksne municipality","Asphalt and other bituminous surfaces","State roads",181
"Alūksne municipality","Asphalt and other bituminous surfaces","Municipal roads",51
"Alūksne municipality","Asphalt and other bituminous surfaces","Municipal streets",35
"Alūksne municipality","Crushed stone and gravel surfaces","Total",919
"Alūksne municipality","Crushed stone and gravel surfaces","State roads",277
"Alūksne municipality","Crushed stone and gravel surfaces","Municipal roads",608
"Alūksne municipality","Crushed stone and gravel surfaces","Municipal streets",34
"Augšdaugava municipality","Total","Total",2817
"Augšdaugava municipality","Total","State roads",881
"Augšdaugava municipality","Total","Municipal roads",1791
"Augšdaugava municipality","Total","Municipal streets",145
"Augšdaugava municipality","Asphalt and other bituminous surfaces","Total",643
"Augšdaugava municipality","Asphalt and other bituminous surfaces","State roads",475
"Augšdaugava municipality","Asphalt and other bituminous surfaces","Municipal roads",72
"Augšdaugava municipality","Asphalt and other bituminous surfaces","Municipal streets",96
"Augšdaugava municipality","Crushed stone and gravel surfaces","Total",2173
"Augšdaugava municipality","Crushed stone and gravel surfaces","State roads",406
"Augšdaugava municipality","Crushed stone and gravel surfaces","Municipal roads",1718
"Augšdaugava municipality","Crushed stone and gravel surfaces","Municipal streets",49
"Ādaži municipality","Total","Total",398
"Ādaži municipality","Total","State roads",55
"Ādaži municipality","Total","Municipal roads",88
"Ādaži municipality","Total","Municipal streets",255
"Ādaži municipality","Asphalt and other bituminous surfaces","Total",199
"Ādaži municipality","Asphalt and other bituminous surfaces","State roads",51
"Ādaži municipality","Asphalt and other bituminous surfaces","Municipal roads",26
"Ādaži municipality","Asphalt and other bituminous surfaces","Municipal streets",122
"Ādaži municipality","Crushed stone and gravel surfaces","Total",199
"Ādaži municipality","Crushed stone and gravel surfaces","State roads",4
"Ādaži municipality","Crushed stone and gravel surfaces","Municipal roads",61
"Ādaži municipality","Crushed stone and gravel surfaces","Municipal streets",134
"Balvi municipality","Total","Total",1597
"Balvi municipality","Total","State roads",563
"Balvi municipality","Total","Municipal roads",916
"Balvi municipality","Total","Municipal streets",118
"Balvi municipality","Asphalt and other bituminous surfaces","Total",363
"Balvi municipality","Asphalt and other bituminous surfaces","State roads",278
"Balvi municipality","Asphalt and other bituminous surfaces","Municipal roads",19
"Balvi municipality","Asphalt and other bituminous surfaces","Municipal streets",66
"Balvi municipality","Crushed stone and gravel surfaces","Total",1235
"Balvi municipality","Crushed stone and gravel surfaces","State roads",285
