"Valsts un pašvaldību autoceļu un pašvaldību ielu garums reģionos, valstspilsētās un novados gada beigās (km) - Teritoriālā vienība, Rādītāji un Laika periods"

"Teritoriālā vienība","Rādītāji","2024"
"Aizkraukles novads","Pavisam",1657
"Alūksnes novads","Pavisam",1187
"Augšdaugavas novads","Pavisam",2817
"Ādažu novads","Pavisam",398
"Balvu novads","Pavisam",1597
"Bauskas novads","Pavisam",2014
"Cēsu novads","Pavisam",2670
"Dienvidkurzemes novads","Pavisam",3078
"Dobeles novads","Pavisam",1529
"Gulbenes novads","Pavisam",1380
"Jelgavas novads","Pavisam",1552
"Jēkabpils novads","Pavisam",2401
"Krāslavas novads","Pavisam",2183
"Kuldīgas novads","Pavisam",1973
"Ķekavas novads","Pavisam",514
"Limbažu novads","Pavisam",2272
"Līvānu novads","Pavisam",446
"Ludzas novads","Pavisam",2160
"Madonas novads","Pavisam",2464
"Mārupes novads","Pavisam",413
"Ogres novads","Pavisam",2039
"Olaines novads","Pavisam",201
"Preiļu novads","Pavisam",1385
"Rēzeknes novads","Pavisam",2651
"Ropažu novads","Pavisam",613
"Salaspils novads","Pavisam",180
"Saldus novads","Pavisam",1603
"Saulkrastu novads","Pavisam",386
"Siguldas novads","Pavisam",1072
"Smiltenes novads","Pavisam",1371
"Talsu novads","Pavisam",2148
"Tukuma novads","Pavisam",2175
"Valkas novads","Pavisam",492
"Valmieras novads","Pavisam",2075
"Varakļānu novads","Pavisam",234
"Ventspils novads","Pavisam",1455
