municipality_name,road_length_km
Latvia,16595.0
Vidzeme,4268.0
Kurzeme,3738.0
Riga,3556.0
Latgale,3297.0
Zemgale,2610.0
Valmiera municipality,719.0
Tukums municipality,716.0
Talsi municipality,674.0
Augšdaugava municipality,643.0
Dienvidkurzeme municipality,623.0
Rēzekne municipality,613.0
Ogre municipality,610.0
Jelgava municipality,572.0
Cēsis municipality,569.0
Kuldīga municipality,536.0
Madona municipality,520.0
Limbaži municipality,513.0
Bauska municipality,505.0
Jēkabpils municipality,479.0
Aizkraukle municipality,470.0
Dobele municipality,442.0
Ludza municipality,435.0
Krāslava municipality,434.0
Saldus municipality,424.0
Smiltene municipality,409.0
Ventspils municipality,395.0
Sigulda municipality,372.0
Balvi municipality,363.0
Preiļi municipality,345.0
Gulbene municipality,305.0
Jūrmala,275.0
Alūksne municipality,267.0
Mārupe municipality,256.0
Ropaži municipality,254.0
Daugavpils,223.0
Ķekava municipality,215.0
Liepāja,200.0
Ādaži municipality,199.0
Ventspils,168.0
Līvāni municipality,166.0
Valka municipality,151.0
Jelgava,142.0
Saulkrasti municipality,136.0
Olaine municipality,128.0
Salaspils municipality,113.0
Rēzekne,75.0
Varakļāni municipality,69.0
