municipality_name,forest_area_ha,forest_area_km2
Latvija,3454604,34546.04
Rīga,5577,55.77
Daugavpils,1591,15.91
Jelgava,1182,11.82
Jēkabpils,192,1.92
Jūrmala,4811,48.11
Liepāja,1212,12.12
Ogre,223,2.23
Rēzekne,8,0.08
Valmiera,404,4.04
Ventspils,1522,15.22
Aizkraukle,142086,1420.86
Alūksne,113446,1134.46
Augšdaugava,101029,1010.29
Ādaži,15690,156.9
Balvi,133675,1336.75
Bauska,86926,869.26
Cēsis,160462,1604.62
Dienvidkurzeme,177602,1776.02
Dobele,54561,545.61
Gulbene,112152,1121.52
Jelgava,53284,532.84
Jēkabpils,168363,1683.63
Krāslava,97049,970.49
Kuldīga,148993,1489.93
Ķekava,26955,269.55
Limbaži,154032,1540.32
Līvāni,28647,286.47
Ludza,131257,1312.57
Madona,173531,1735.31
Mārupe,16242,162.42
Ogre,102802,1028.02
Olaine,22208,222.08
Preiļi,51728,517.28
Rēzekne,110660,1106.6
Ropaži,37919,379.19
Salaspils novads,3872,38.72
Saldus,110206,1102.06
Saulkrasti,18872,188.72
Sigulda,59689,596.89
Smiltene,108192,1081.92
Talsi,177882,1778.82
Tukums,120618,1206.18
Valka,62378,623.78
Valmiera,163086,1630.86
Varakļāni,12234,122.34
Ventspils,180375,1803.75
