municipality_name,road_length_km
Latvia,40969.0
Vidzeme,12301.0
Latgale,10381.0
Kurzeme,9159.0
Zemgale,6814.0
Riga,2646.0
Dienvidkurzeme municipality,2456.0
Augšdaugava municipality,2173.0
Cēsis municipality,2102.0
Rēzekne municipality,2038.0
Madona municipality,1945.0
Jēkabpils municipality,1921.0
Limbaži municipality,1759.0
Krāslava municipality,1749.0
Ludza municipality,1725.0
Bauska municipality,1510.0
Talsi municipality,1473.0
Tukums municipality,1459.0
Kuldīga municipality,1436.0
Ogre municipality,1430.0
Valmiera municipality,1356.0
Balvi municipality,1235.0
Aizkraukle municipality,1188.0
Saldus municipality,1179.0
Dobele municipality,1086.0
Gulbene municipality,1074.0
Ventspils municipality,1060.0
Preiļi municipality,1041.0
Jelgava municipality,981.0
Smiltene municipality,962.0
Alūksne municipality,919.0
Sigulda municipality,700.0
Ropaži municipality,358.0
Valka municipality,341.0
Ķekava municipality,300.0
Līvāni municipality,280.0
Saulkrasti municipality,249.0
Ādaži municipality,199.0
Varakļāni municipality,165.0
Mārupe municipality,157.0
Jelgava,128.0
Jūrmala,125.0
Daugavpils,110.0
Olaine municipality,74.0
Liepāja,70.0
Salaspils municipality,67.0
Rēzekne,31.0
Ventspils,25.0
