municipality_name,Area_Type,library_count
Daugavpils,City,8
Jelgava,City,4
Jūrmala,City,5
Liepāja,City,7
Rēzekne,City,4
Rīga,City,28
Ventspils,City,5
Aizkraukles novads,Municipality,23
Alūksnes novads,Municipality,17
Augšdaugavas novads,Municipality,28
Balvu novads,Municipality,24
Bauskas novads,Municipality,36
Cēsu novads,Municipality,25
Dienvidkurzemes novads,Municipality,33
Dobeles novads,Municipality,21
Gulbenes novads,Municipality,18
Jelgavas novads,Municipality,25
Jēkabpils novads,Municipality,28
Krāslavas novads,Municipality,24
Kuldīgas novads,Municipality,20
Limbažu novads,Municipality,20
Ludzas novads,Municipality,28
Līvānu novads,Municipality,7
Madonas novads,Municipality,22
Madonas novads,Municipality,25
Mārupes novads,Municipality,4
Ogres novads,Municipality,22
Olaines novads,Municipality,3
Preiļu novads,Municipality,18
Ropažu novads,Municipality,7
Rēzeknes novads,Municipality,29
Salaspils novads,Municipality,3
Saldus novads,Municipality,21
Saulkrastu novads,Municipality,3
Siguldas novads,Municipality,11
Smiltenes novads,Municipality,14
Talsu novads,Municipality,31
Tukuma novads,Municipality,25
Valkas novads,Municipality,6
Valmieras novads,Municipality,32
Varakļānu novads,Municipality,3
Ventspils novads,Municipality,13
Ādažu novads,Municipality,2
Ķekavas novads,Municipality,5
