municipality_name,road_length_km
Latvia,29688.0
Vidzeme,8507.0
Latgale,7873.0
Kurzeme,6851.0
Zemgale,5209.0
Dienvidkurzeme municipality,1881.0
Augšdaugava municipality,1791.0
Rēzekne municipality,1647.0
Cēsis municipality,1427.0
Madona municipality,1367.0
Jēkabpils municipality,1352.0
Limbaži municipality,1264.0
Krāslava municipality,1250.0
Riga,1247.0
Ludza municipality,1219.0
Tukums municipality,1192.0
Bauska municipality,1129.0
Kuldīga municipality,1111.0
Ogre municipality,1030.0
Jelgava municipality,1005.0
Talsi municipality,999.0
Balvi municipality,916.0
Saldus municipality,885.0
Dobele municipality,872.0
Valmiera municipality,856.0
Aizkraukle municipality,851.0
Preiļi municipality,835.0
Ventspils municipality,783.0
Gulbene municipality,697.0
Alūksne municipality,659.0
Smiltene municipality,619.0
Sigulda municipality,466.0
Ropaži municipality,228.0
Valka municipality,221.0
Saulkrasti municipality,218.0
Līvāni municipality,217.0
Ķekava municipality,168.0
Mārupe municipality,163.0
Varakļāni municipality,149.0
Ādaži municipality,88.0
Olaine municipality,70.0
Salaspils municipality,64.0
Daugavpils,0.0
Jelgava,0.0
Jūrmala,0.0
Liepāja,0.0
Rēzekne,0.0
Ventspils,0.0
