municipality_name,road_length_km
Latvia,7978.0
Riga,3882.0
Vidzeme,1801.0
Kurzeme,1371.0
Latgale,1273.0
Zemgale,855.0
Jūrmala,386.0
Daugavpils,331.0
Ogre municipality,329.0
Valmiera municipality,287.0
Limbaži municipality,279.0
Jelgava,270.0
Liepāja,270.0
Cēsis municipality,266.0
Dienvidkurzeme municipality,262.0
Ādaži municipality,255.0
Jēkabpils municipality,235.0
Talsi municipality,210.0
Sigulda municipality,208.0
Ventspils,193.0
Ropaži municipality,192.0
Aizkraukle municipality,182.0
Madona municipality,174.0
Ķekava municipality,167.0
Ludza municipality,159.0
Kuldīga municipality,155.0
Mārupe municipality,151.0
Rēzekne municipality,147.0
Augšdaugava municipality,145.0
Tukums municipality,142.0
Krāslava municipality,133.0
Saldus municipality,123.0
Smiltene municipality,119.0
Balvi municipality,118.0
Gulbene municipality,109.0
Rēzekne,106.0
Bauska municipality,93.0
Saulkrasti municipality,91.0
Preiļi municipality,80.0
Dobele municipality,75.0
Salaspils municipality,74.0
Alūksne municipality,69.0
Līvāni municipality,54.0
Valka municipality,49.0
Olaine municipality,38.0
Varakļāni municipality,29.0
Ventspils municipality,16.0
Jelgava municipality,0.0
