municipality_name,road_length_km
Latvia,19898.0
Vidzeme,6261.0
Kurzeme,4675.0
Latgale,4531.0
Zemgale,3359.0
Riga,1072.0
Cēsis municipality,978.0
Talsi municipality,939.0
Dienvidkurzeme municipality,935.0
Valmiera municipality,932.0
Madona municipality,923.0
Augšdaugava municipality,881.0
Rēzekne municipality,858.0
Tukums municipality,841.0
Jēkabpils municipality,814.0
Krāslava municipality,800.0
Bauska municipality,792.0
Ludza municipality,781.0
Limbaži municipality,729.0
Kuldīga municipality,707.0
Ogre municipality,680.0
Ventspils municipality,657.0
Smiltene municipality,633.0
Aizkraukle municipality,625.0
Saldus municipality,595.0
Dobele municipality,581.0
Gulbene municipality,574.0
Balvi municipality,563.0
Jelgava municipality,547.0
Preiļi municipality,471.0
Alūksne municipality,459.0
Sigulda municipality,398.0
Valka municipality,222.0
Ropaži municipality,193.0
Ķekava municipality,179.0
Līvāni municipality,175.0
Mārupe municipality,99.0
Olaine municipality,93.0
Saulkrasti municipality,77.0
Ādaži municipality,55.0
Varakļāni municipality,55.0
Salaspils municipality,42.0
Jūrmala,13.0
Daugavpils,2.0
Jelgava,0.0
Liepāja,0.0
Rēzekne,0.0
Ventspils,0.0
