municipality_name,road_length_km
Latvia,57564.0
Vidzeme,16569.0
Latgale,13678.0
Kurzeme,12897.0
Zemgale,9424.0
Riga,6201.0
Dienvidkurzeme municipality,3078.0
Augšdaugava municipality,2817.0
Cēsis municipality,2670.0
Rēzekne municipality,2651.0
Madona municipality,2464.0
Jēkabpils municipality,2401.0
Limbaži municipality,2272.0
Krāslava municipality,2183.0
Tukums municipality,2175.0
Ludza municipality,2160.0
Talsi municipality,2148.0
Valmiera municipality,2075.0
Ogre municipality,2039.0
Bauska municipality,2014.0
Kuldīga municipality,1973.0
Aizkraukle municipality,1657.0
Saldus municipality,1603.0
Balvi municipality,1597.0
Jelgava municipality,1552.0
Dobele municipality,1529.0
Ventspils municipality,1455.0
Preiļi municipality,1385.0
Gulbene municipality,1380.0
Smiltene municipality,1371.0
Alūksne municipality,1187.0
Sigulda municipality,1072.0
Ropaži municipality,613.0
Ķekava municipality,514.0
Valka municipality,492.0
Līvāni municipality,446.0
Mārupe municipality,413.0
Jūrmala,399.0
Ādaži municipality,398.0
Saulkrasti municipality,386.0
Daugavpils,333.0
Liepāja,271.0
Jelgava,270.0
Varakļāni municipality,234.0
Olaine municipality,201.0
Ventspils,193.0
Salaspils municipality,180.0
Rēzekne,106.0
