municipality_name,osm_road_km,official_road_km,completeness_pct
Aizkraukle,162.99,1657,9.8
Alūksne,210.88,1187,17.8
Balvi,110.58,1597,6.9
Bauska,184.82,2014,9.2
Cēsis,307.15,2670,11.5
Dobele,181.84,1529,11.9
Gulbene,159.63,1380,11.6
Jelgava,840.72,1552,54.2
Jēkabpils,496.97,2401,20.7
Krāslava,150.98,2183,6.9
Kuldīga,258.47,1973,13.1
Limbaži,186.13,2272,8.2
Ludza,134.77,2160,6.2
Līvāni,123.88,446,27.8
Madona,218.25,2464,8.9
Ogre,385.03,2039,18.9
Olaine,145.99,201,72.6
Preiļi,95.07,1385,6.9
Rēzekne,389.36,2651,14.7
Salaspils,266.54,180,148.1
Saldus,166.72,1603,10.4
Saulkrasti,148.44,386,38.5
Sigulda,367.93,1072,34.3
Smiltene,139.29,1371,10.2
Talsi,219.84,2148,10.2
Tukums,277.21,2175,12.7
Valka,173.55,492,35.3
Valmiera,449.42,2075,21.7
Varakļāni,64.56,234,27.6
Ventspils,803.65,1455,55.2
TOTAL,7820.660000000001,46952,16.7
