municipality_name,Area_Type,osm_forest_area_km2,official_forest_km2,completeness_%,forest_count
Rēzeknes,City,2.08,0.08,2600.0,33
Liepājas,City,27.8,12.12,229.37,194
Daugavpils,City,28.46,15.91,178.88,954
Jelgavas,City,15.0,11.82,126.9,255
Salaspils novads,Municipality,26.34,38.72,68.03,698
Mārupe,Municipality,106.36,162.42,65.48,2062
Līvāni,Municipality,176.75,286.47,61.7,224
Preiļi,Municipality,301.63,517.28,58.31,540
Jūrmalas,City,27.96,48.11,58.12,528
Rīga,City,28.99,55.77,51.98,2558
Rēzekne,Municipality,563.4,1106.6,50.91,1140
Varakļāni,Municipality,59.33,122.34,48.5,58
Saldus,Municipality,532.11,1102.06,48.28,7411
Augšdaugava,Municipality,475.64,1010.29,47.08,7161
Bauska,Municipality,407.66,869.26,46.9,2598
Jelgava,Municipality,242.16,532.84,45.45,1531
Krāslava,Municipality,438.04,970.49,45.14,1965
Tukums,Municipality,529.75,1206.18,43.92,6153
Dobele,Municipality,232.21,545.61,42.56,1055
Gulbene,Municipality,475.66,1121.52,42.41,823
Saulkrasti,Municipality,77.75,188.72,41.2,523
Dienvidkurzeme,Municipality,701.31,1776.02,39.49,2527
Ādaži,Municipality,59.9,156.9,38.18,807
Sigulda,Municipality,213.85,596.89,35.83,1645
Kuldīga,Municipality,498.47,1489.93,33.46,6322
Smiltene,Municipality,353.2,1081.92,32.65,1242
Olaine,Municipality,71.84,222.08,32.35,1566
Ropaži,Municipality,118.9,379.19,31.36,1039
Madona,Municipality,529.23,1735.31,30.5,1815
Valmiera,Municipality,495.53,1630.86,30.38,2953
Limbaži,Municipality,457.85,1540.32,29.72,875
Ludza,Municipality,387.03,1312.57,29.49,637
Alūksne,Municipality,332.89,1134.46,29.34,3344
Ogre,Municipality,300.36,1028.02,29.22,1432
Balvi,Municipality,365.43,1336.75,27.34,698
Jēkabpils,Municipality,443.4,1683.63,26.34,4124
Ķekava,Municipality,69.12,269.55,25.64,2234
Cēsis,Municipality,406.61,1604.62,25.34,2665
Talsi,Municipality,363.83,1778.82,20.45,1440
Ventspils,Municipality,364.76,1803.75,20.22,967
Aizkraukle,Municipality,275.13,1420.86,19.36,904
Valka,Municipality,104.93,623.78,16.82,239
