Municipality,OSM_Roads_km,Segments,Official_Roads_km,Completeness_%,Area_Type
Aizkraukle,3749.6569693690894,7932,1657,226.29191124738023,Municipality
Alūksne,2901.6002203296084,7641,1187,244.4482072729241,Municipality
Augšdaugava,4944.990290085826,8784,2817,175.54101136264913,Municipality
Balvi,3053.786186525966,5510,1597,191.22017448503232,Municipality
Bauska,4372.114697997729,11970,2014,217.0861319760541,Municipality
Cēsis,5505.804364502004,15334,2670,206.20990129220988,Municipality
Daugavpils,1293.7038320141987,11499,333,388.4996492535132,City
Dienvidkurzeme,6397.059374356784,13879,3078,207.83168857559403,Municipality
Dobele,2851.546877399628,6164,1529,186.49750669716337,Municipality
Gulbene,2703.6207878084583,4956,1380,195.91454984119264,Municipality
Jelgava,3315.648036280113,9356,1552,213.63711573969803,Municipality
Jelgavas,840.7150344600457,7302,1552,54.169783148198825,City
Jēkabpils,4396.59128716281,11046,2401,183.11500571273675,Municipality
Jūrmalas,1214.2212440012495,8746,399,304.316101253446,City
Krāslava,3638.462178062565,6204,2183,166.67256885307216,Municipality
Kuldīga,4978.376994326661,13905,1973,252.32524046257785,Municipality
Liepājas,922.1596357653168,7507,271,340.28030840048586,City
Limbaži,3883.379020108672,10948,2272,170.92337236393803,Municipality
Ludza,3298.1812414037963,5704,2160,152.6935759909165,Municipality
Līvāni,799.3017839295047,1626,446,179.21564662096517,Municipality
Madona,4751.784724453918,9643,2464,192.8484060249155,Municipality
Mārupe,1735.6381655679372,9436,413,420.2513718082172,Municipality
Ogre,4661.891580693487,17460,2039,228.63617364852809,Municipality
Olaine,1297.7454500098097,5338,201,645.6445024924426,Municipality
Preiļi,2107.7523236977463,3789,1385,152.18428329947628,Municipality
Ropaži,2930.5852775564304,13637,613,478.0726390793524,Municipality
Rēzekne,4190.268756617812,8445,2651,158.06370262609624,Municipality
Rēzeknes,389.35971198231965,3703,2651,14.687276951426616,City
Rīga,6995.62842905852,84770,1205,580.5500771002921,City
Salaspils novads,850.2355252143756,5706,180,472.353069563542,Municipality
Saldus,3200.3047021148764,6505,1603,199.64471005083448,Municipality
Saulkrasti,987.4833224330814,5295,386,255.8246949308501,Municipality
Sigulda,2821.266199354903,11215,1072,263.17781710400214,Municipality
Smiltene,3036.8745086274425,6405,1371,221.50798750017816,Municipality
Talsi,5544.295239694227,17764,2148,258.1143035239398,Municipality
Tukums,4772.983648505302,14801,2175,219.4475240692093,Municipality
Valka,1438.9475138649343,2768,492,292.4690068831167,Municipality
Valmiera,5330.249946793334,16924,2075,256.8795155081125,Municipality
Varakļāni,281.67213157042016,707,234,120.37270579932486,Municipality
Ventspils,4948.596369160595,13147,1455,340.1097160935117,City
Ādaži,1856.962965256612,11335,398,466.5736093609577,Municipality
Ķekava,2032.576437613557,9045,514,395.44288669524457,Municipality
