Municipality,OSM_Roads_km,Segments,Official_Roads_km,Completeness_%
Abavas pag.,357.27,763,0.0,0.0
Aglonas pag.,236.52,599,0.0,0.0
Ainaži,54.75,258,0.0,0.0
Ainažu pag.,259.18,328,0.0,0.0
Aiviekstes pag.,323.79,525,0.0,0.0
Aizkalnes pag.,161.72,315,0.0,0.0
Aizkraukle,162.99,978,1657.0,9.84
Aizkraukles pag.,181.96,387,0.0,0.0
Aizpute,103.66,827,0.0,0.0
Aizputes pag.,187.55,299,0.0,0.0
Aknīste,44.95,198,0.0,0.0
Aknīstes pag.,186.21,111,0.0,0.0
Allažu pag.,376.99,780,0.0,0.0
Aloja,46.38,179,0.0,0.0
Alojas pag.,256.89,291,0.0,0.0
Alsungas pag.,603.65,1598,0.0,0.0
Alsviķu pag.,564.35,1496,0.0,0.0
Alūksne,210.88,1809,1187.0,17.77
Amatas pag.,215.99,335,0.0,0.0
Ambeļu pag.,103.48,115,0.0,0.0
Ances pag.,593.13,624,0.0,0.0
Andrupenes pag.,283.21,474,0.0,0.0
Andzeļu pag.,163.42,211,0.0,0.0
Annas pag.,144.28,368,0.0,0.0
Annenieku pag.,141.99,238,0.0,0.0
Ape,38.65,198,0.0,0.0
Apes pag.,241.13,371,0.0,0.0
Aronas pag.,329.18,499,0.0,0.0
Asares pag.,147.64,176,0.0,0.0
Asūnes pag.,136.36,118,0.0,0.0
Atašienes pag.,217.12,242,0.0,0.0
Auce,63.49,332,0.0,0.0
Audriņu pag.,103.54,200,0.0,0.0
Augstkalnes pag.,130.35,243,0.0,0.0
Augšdaugava,0.0,0,2817.0,0.0
Aulejas pag.,132.28,294,0.0,0.0
Auru pag.,246.75,401,0.0,0.0
Babītes pag.,717.5,3265,0.0,0.0
Baldone,124.63,1131,0.0,0.0
Baldones pag.,581.42,1271,0.0,0.0
Balgales pag.,183.9,420,0.0,0.0
Baloži,133.0,915,0.0,0.0
Baltinavas pag.,331.79,432,0.0,0.0
Balvi,110.58,684,1597.0,6.92
Balvu pag.,152.4,284,0.0,0.0
Barkavas pag.,235.48,329,0.0,0.0
Bauska,184.82,1400,2014.0,9.18
Bebrenes pag.,227.17,326,0.0,0.0
Bebru pag.,180.04,296,0.0,0.0
Beļavas pag.,300.66,357,0.0,0.0
Bikstu pag.,198.13,249,0.0,0.0
Bilskas pag.,273.8,478,0.0,0.0
Birzgales pag.,632.03,1127,0.0,0.0
Biķernieku pag.,151.11,118,0.0,0.0
Blomes pag.,172.03,356,0.0,0.0
Blontu pag.,104.61,114,0.0,0.0
Blīdenes pag.,210.77,287,0.0,0.0
Brantu pag.,153.87,232,0.0,0.0
Braslavas pag.,124.03,146,0.0,0.0
Brenguļu pag.,246.34,581,0.0,0.0
Briežuciema pag.,128.43,185,0.0,0.0
Briģu pag.,168.71,157,0.0,0.0
Brocēni,108.75,386,0.0,0.0
Brunavas pag.,190.12,301,0.0,0.0
Brīvzemnieku pag.,212.7,295,0.0,0.0
Bukaišu pag.,135.69,132,0.0,0.0
Bunkas pag.,196.25,351,0.0,0.0
Burtnieku pag.,285.69,586,0.0,0.0
Bārbeles pag.,197.48,294,0.0,0.0
Bārtas pag.,200.56,335,0.0,0.0
Bēnes pag.,229.98,341,0.0,0.0
Bērzaines pag.,96.97,199,0.0,0.0
Bērzaunes pag.,294.46,618,0.0,0.0
Bērzes pag.,196.95,495,0.0,0.0
Bērzgales pag.,125.51,154,0.0,0.0
Bērziņu pag.,170.29,107,0.0,0.0
Bērzkalnes pag.,136.34,143,0.0,0.0
Bērzpils pag.,156.02,210,0.0,0.0
Carnikavas pag.,903.94,5045,0.0,0.0
Cenu pag.,412.55,1530,0.0,0.0
Ceraukstes pag.,151.1,302,0.0,0.0
Cesvaine,72.53,294,0.0,0.0
Cesvaines pag.,325.82,258,0.0,0.0
Ciblas pag.,137.05,260,0.0,0.0
Cieceres pag.,209.54,263,0.0,0.0
Cirmas pag.,119.52,245,0.0,0.0
Codes pag.,197.66,348,0.0,0.0
Cēres pag.,115.43,170,0.0,0.0
Cēsis,307.15,2484,2670.0,11.5
Cīravas pag.,258.88,528,0.0,0.0
Dagda,39.65,292,0.0,0.0
Dagdas pag.,113.44,174,0.0,0.0
Daudzeses pag.,343.95,330,0.0,0.0
Daugavpils,1293.7,11499,0.0,0.0
Daugmales pag.,282.19,912,0.0,0.0
Daukstu pag.,219.53,272,0.0,0.0
Degoles pag.,119.23,219,0.0,0.0
Dekšāres pag.,175.23,177,0.0,0.0
Demenes pag.,312.08,353,0.0,0.0
Dienvidkurzeme,0.0,0,3078.0,0.0
Dignājas pag.,123.51,94,0.0,0.0
Dikļu pag.,246.13,442,0.0,0.0
Dobele,181.84,907,1529.0,11.89
Dobeles pag.,146.51,187,0.0,0.0
Drabešu pag.,455.13,1505,0.0,0.0
Dricānu pag.,152.84,159,0.0,0.0
Drustu pag.,257.37,364,0.0,0.0
Druvienas pag.,131.42,222,0.0,0.0
Dubnas pag.,134.81,147,0.0,0.0
Dunalkas pag.,148.67,298,0.0,0.0
Dunavas pag.,189.88,134,0.0,0.0
Dundagas pag.,817.5,2072,0.0,0.0
Dunikas pag.,306.89,496,0.0,0.0
Durbe,34.37,169,0.0,0.0
Durbes pag.,149.24,264,0.0,0.0
Dvietes pag.,213.8,135,0.0,0.0
Dzelzavas pag.,214.41,257,0.0,0.0
Dzērbenes pag.,292.52,481,0.0,0.0
Dāviņu pag.,135.59,147,0.0,0.0
Džūkstes pag.,272.62,523,0.0,0.0
