Novads,TRS020_Name,OSM_Roads_km,Segments,Official_Roads_km,Completeness_%
Aizkraukle,Aizkraukles,3749.66,7932,1657,226.29
Alūksne,Alūksnes,2901.6,7641,1187,244.45
Augšdaugava,Augšdaugavas,4944.99,8784,2817,175.54
Balvi,Balvu,3053.79,5510,1597,191.22
Bauska,Bauskas,4372.11,11970,2014,217.09
Dienvidkurzeme,Dienvidkurzemes,6397.06,13879,3078,207.83
Dobele,Dobeles,2851.55,6164,1529,186.5
Gulbene,Gulbenes,2703.62,4956,1380,195.91
Jelgava,Jelgavas,3315.65,9356,1552,213.64
Jelgavas,Jelgavas,840.72,7302,1552,54.17
Jēkabpils,Jēkabpils,4396.59,11046,2401,183.12
Krāslava,Krāslavas,3638.46,6204,2183,166.67
Kuldīga,Kuldīgas,4978.38,13905,1973,252.33
Limbaži,Limbažu,3883.38,10948,2272,170.92
Ludza,Ludzas,3298.18,5704,2160,152.69
Līvāni,Līvānu,799.3,1626,446,179.22
Madona,Madonas,4751.78,9643,2464,192.85
Mārupe,Mārupes,1735.64,9436,413,420.25
Ogre,Ogres,4661.89,17460,2039,228.64
Olaine,Olaines,1297.75,5338,201,645.64
Preiļi,Preiļu,2107.75,3789,1385,152.18
Ropaži,Ropažu,2930.59,13637,613,478.07
Rēzekne,Rēzeknes,4190.27,8445,2651,158.06
Rēzeknes,Rēzeknes,389.36,3703,2651,14.69
Saldus,Saldus,3200.3,6505,1603,199.64
Saulkrasti,Saulkrastu,987.48,5295,386,255.82
Sigulda,Siguldas,2821.27,11215,1072,263.18
Smiltene,Smiltenes,3036.87,6405,1371,221.51
Talsi,Talsu,5544.3,17764,2148,258.11
Tukums,Tukuma,4772.98,14801,2175,219.45
Valka,Valkas,1438.95,2768,492,292.47
Valmiera,Valmieras,5330.25,16924,2075,256.88
Varakļāni,Varakļānu,281.67,707,234,120.37
Ventspils,Ventspils,4948.6,13147,1455,340.11
Ādaži,Ādažu,1856.96,11335,398,466.57
Ķekava,Ķekavas,2032.58,9045,514,395.44
