municipality_name,osm_forest_area_km2,forest_count
Aizkraukle,275.13,904
Alūksne,332.89,3344
Augšdaugava,475.64,7161
Balvi,365.43,698
Bauska,407.66,2598
Cēsis,406.61,2665
Daugavpils,28.46,954
Dienvidkurzeme,701.31,2527
Dobele,232.21,1055
Gulbene,475.66,823
Jelgava,242.16,1531
Jelgavas,15.0,255
Jēkabpils,443.4,4124
Jūrmalas,27.96,528
Krāslava,438.04,1965
Kuldīga,498.47,6322
Liepājas,27.8,194
Limbaži,457.85,875
Ludza,387.03,637
Līvāni,176.75,224
Madona,529.23,1815
Mārupe,106.36,2062
Ogre,300.36,1432
Olaine,71.84,1566
Preiļi,301.63,540
Ropaži,118.9,1039
Rēzekne,563.4,1140
Rēzeknes,2.08,33
Rīga,28.99,2558
Salaspils novads,26.34,698
Saldus,532.11,7411
Saulkrasti,77.75,523
Sigulda,213.85,1645
Smiltene,353.2,1242
Talsi,363.83,1440
Tukums,529.75,6153
Valka,104.93,239
Valmiera,495.53,2953
Varakļāni,59.33,58
Ventspils,364.76,967
Ādaži,59.9,807
Ķekava,69.12,2234
