municipality_name,shapeISO,municipality_id,shapeGroup,shapeType,area_km2,osm_road_km,num_segments,road_length_km,completeness_pct,category,difference_km,road_density_km_per_km2,official_road_km,data_quality_flag
Sigulda,,27541924B33898392287232,LVA,ADM2,22.877608857399295,367.93,3533,,34.321828358208954,No data,,16.083,1072.0,complete
Krāslava,,27541924B97112001727549,LVA,ADM2,9.157952193921975,150.98,939,,6.91617040769583,No data,,16.486,2183.0,complete
Alūksne,,27541924B6275122362783,LVA,ADM2,14.268503926400497,210.88,1809,,17.765796124684076,No data,,14.779,1187.0,complete
Jelgava,,27541924B72876713406332,LVA,ADM2,60.55537032271767,840.72,7302,450.2,186.74,Over-mapped,390.52,13.883,1552.0,complete
Ludza,,27541924B46448426617043,LVA,ADM2,10.474176518040215,134.77,584,,6.239351851851852,No data,,12.867,2160.0,complete
Bauska,,27541924B8748628129152,LVA,ADM2,10.320517548123984,184.82,1400,320.6,57.65,Low,-135.78,17.908,2014.0,complete
Dobele,,27541924B14429265035734,LVA,ADM2,8.033993186033266,181.84,907,250.9,72.48,Partial,-69.06,22.634,1529.0,complete
Aizkraukle,,27541924B59656090985212,LVA,ADM2,12.932334347227805,162.99,978,410.3,39.72,Low,-247.31,12.603,1657.0,complete
Tukums,,27541924B84924671818931,LVA,ADM2,13.439348069830581,277.21,3056,380.2,72.91,Partial,-102.99,20.627,2175.0,complete
Kuldīga,,27541924B54151317600079,LVA,ADM2,13.241673752435291,258.47,2725,290.3,89.04,Partial,-31.83,19.519,1973.0,complete
Limbaži,,27541924B93215456258482,LVA,ADM2,9.299720971404785,186.13,2017,,8.192341549295774,No data,,20.015,2272.0,complete
Varakļāni,,27541924B76444733337107,LVA,ADM2,5.326042174308238,64.56,396,,27.58974358974359,No data,,12.122,234.0,complete
Rēzekne,,27541924B24417466951729,LVA,ADM2,17.504777238752453,389.36,3703,380.4,102.36,Complete,8.96,22.243,2651.0,complete
Balvi,,27541924B17148947944972,LVA,ADM2,5.070182094188821,110.58,684,,6.924232936756418,No data,,21.81,1597.0,complete
Jūrmala,,27541924B97650522889636,LVA,ADM2,101.36170037913868,1214.22,8746,180.5,672.7,Over-mapped,1033.72,11.979,1600.0,missing_official_data
Preiļi,,27541924B35723190780065,LVA,ADM2,5.236098436321076,95.07,692,,6.864259927797834,No data,,18.157,1385.0,complete
Daugavpils,,27541924B86608938053042,LVA,ADM2,72.37149722860816,1293.7,11499,850.3,152.15,Over-mapped,443.4,17.876,1600.0,missing_official_data
Saldus,,27541924B14554073945522,LVA,ADM2,10.106941768187857,166.72,1075,310.7,53.66,Low,-143.98,16.496,1603.0,complete
Ventspils,,27541924B34686521440656,LVA,ADM2,57.96594599378829,803.65,6413,340.7,235.88,Over-mapped,462.95,13.864,1455.0,complete
Gulbene,,27541924B45220335031479,LVA,ADM2,11.908762412970276,159.63,1067,,11.567391304347826,No data,,13.404,1380.0,complete
Smiltene,,27541924B48400059741255,LVA,ADM2,7.198880356937445,139.29,944,,10.159737417943107,No data,,19.349,1371.0,complete
Cēsis,,27541924B8130819472735,LVA,ADM2,19.274055166541224,307.15,2484,350.8,87.56,Partial,-43.65,15.936,2670.0,complete
Valka,,27541924B34676349154335,LVA,ADM2,14.25712684573583,173.55,993,,35.274390243902445,No data,,12.173,492.0,complete
Salaspils,,27541924B10713926826642,LVA,ADM2,15.110519656610622,266.54,2821,120.5,221.2,Over-mapped,146.04,17.639,180.0,complete
Līvāni,,27541924B22543300679500,LVA,ADM2,6.365666637855785,123.88,772,,27.775784753363226,No data,,19.461,446.0,complete
Ogre,,27541924B85046161363388,LVA,ADM2,16.178620547715322,385.03,5064,510.9,75.36,Partial,-125.87,23.799,2039.0,complete
Talsi,,27541924B77419719767083,LVA,ADM2,7.851862217259847,219.84,2495,280.4,78.4,Partial,-60.56,27.998,2148.0,complete
Saulkrasti,,27541924B54567786635158,LVA,ADM2,6.1076100913255065,148.44,1533,,38.4559585492228,No data,,24.304,386.0,complete
Valmiera,,27541924B28912918597311,LVA,ADM2,19.360778188911663,449.42,5391,290.6,154.65,Over-mapped,158.82,23.213,2075.0,complete
Jēkabpils,,27541924B6022937125095,LVA,ADM2,25.454495275393008,496.97,4609,420.3,118.24,Over-mapped,76.67,19.524,2401.0,complete
Madona,,27541924B48569978533002,LVA,ADM2,10.41309886532494,218.25,1641,390.8,55.85,Low,-172.55,20.959,2464.0,complete
Liepāja,,27541924B54461346766762,LVA,ADM2,68.02732618501729,922.16,7507,620.8,148.54,Over-mapped,301.36,13.556,1600.0,missing_official_data
Olaine,,27541924B43954126847535,LVA,ADM2,6.842086362171327,145.99,1130,,72.63184079601992,No data,,21.337,201.0,complete
