municipality_name,osm_library_count,Area_Type
Aizkraukle,9,Municipality
Alūksne,7,Municipality
Augšdaugava,5,Municipality
Balvi,2,Municipality
Bauska,11,Municipality
Cēsis,11,Municipality
Daugavpils,4,City
Dienvidkurzeme,9,Municipality
Dobele,2,Municipality
Gulbene,4,Municipality
Jelgava,2,Municipality
Jelgavas,5,City
Jēkabpils,8,Municipality
Jūrmalas,7,City
Krāslava,2,Municipality
Kuldīga,20,Municipality
Liepājas,4,City
Limbaži,9,Municipality
Ludza,6,Municipality
Līvāni,4,Municipality
Madona,9,Municipality
Mārupe,2,Municipality
Ogre,8,Municipality
Preiļi,2,Municipality
Ropaži,6,Municipality
Rēzekne,7,Municipality
Rēzeknes,2,City
Rīga,33,City
Salaspils novads,1,Municipality
Saldus,2,Municipality
Saulkrasti,3,Municipality
Sigulda,5,Municipality
Smiltene,3,Municipality
Talsi,8,Municipality
Tukums,9,Municipality
Valka,1,Municipality
Valmiera,9,Municipality
Ventspils,4,Municipality
Ādaži,2,Municipality
Ķekava,3,Municipality
