GeoJSON_Name,TRS020_Name,Official_Roads_km,Similarity_%
Aizkraukle,Aizkraukles,1657,95
Alūksne,Alūksnes,1187,93
Augšdaugava,Augšdaugavas,2817,95
Balvi,Balvu,1597,80
Bauska,Bauskas,2014,92
Dienvidkurzeme,Dienvidkurzemes,3078,96
Dobele,Dobeles,1529,92
Gulbene,Gulbenes,1380,93
Jelgava,Jelgavas,1552,93
Jelgavas,Jelgavas,1552,100
Jēkabpils,Jēkabpils,2401,100
Krāslava,Krāslavas,2183,94
Kuldīga,Kuldīgas,1973,93
Limbaži,Limbažu,2272,85
Ludza,Ludzas,2160,90
Līvāni,Līvānu,446,83
Madona,Madonas,2464,92
Mārupe,Mārupes,413,92
Ogre,Ogres,2039,88
Olaine,Olaines,201,92
Preiļi,Preiļu,1385,83
Ropaži,Ropažu,613,83
Rēzekne,Rēzeknes,2651,93
Rēzeknes,Rēzeknes,2651,100
Saldus,Saldus,1603,100
Saulkrasti,Saulkrastu,386,90
Sigulda,Siguldas,1072,93
Smiltene,Smiltenes,1371,94
Talsi,Talsu,2148,80
Tukums,Tukuma,2175,83
Valka,Valkas,492,90
Valmiera,Valmieras,2075,94
Varakļāni,Varakļānu,234,88
Ventspils,Ventspils,1455,100
Ādaži,Ādažu,398,80
Ķekava,Ķekavas,514,92
